fund_id,price_dt,price,volume,net_value_dt,net_value,est_val_dt,est_val,est_val_increase_rt,est_error_rt,discount_rt,amount_dt,amount,amount_incr,amount_increase_rt,ref_increase_rt,is_est,code,est_val2
501051,2025-10-21,1.979,1.660,2025-10-21,1.9895,2025-10-21,1.9929,,0.17,-0.53,,689,0,0.000,1.90,0,501051,
501051,2025-10-22,1.955,1.600,2025-10-22,1.9748,2025-10-22,1.9789,,0.21,-1.0,,689,0,0.000,-0.53,0,501051,
501051,2025-10-23,1.954,2.180,2025-10-23,1.9726,2025-10-23,1.9755,,0.15,-0.94,,689,0,0.000,0.04,0,501051,
501051,2025-10-24,1.977,0.410,2025-10-24,1.9972,2025-10-24,2.0005,,0.17,-1.01,,689,0,0.000,1.42,0,501051,
501051,2025-10-27,1.983,1.410,2025-10-27,2.0143,2025-10-27,2.0176,,0.16,-1.55,,683,-6,-0.870,1.02,0,501051,
501051,2025-10-28,1.999,1.650,2025-10-28,2.0134,2025-10-28,2.0081,,-0.26,-0.72,,683,0,0.000,-0.31,0,501051,
501051,2025-10-29,2.02,1.020,2025-10-29,2.0389,2025-10-29,2.0359,,-0.15,-0.93,,683,0,0.000,1.12,0,501051,
501051,2025-10-30,2.002,1.640,2025-10-30,2.0116,2025-10-30,2.0145,,0.14,-0.48,,683,0,0.000,-1.20,0,501051,
501051,2025-10-31,2.002,0.000,2025-10-31,1.9915,2025-10-31,1.9867,,-0.24,0.53,,683,0,0.000,-1.24,0,501051,
501051,2025-11-03,1.985,0.120,2025-11-03,1.9858,2025-11-03,1.9922,,0.32,-0.04,,683,0,0.000,0.03,0,501051,
501051,2025-11-04,1.961,1.120,2025-11-04,1.9635,2025-11-04,1.9703,,0.35,-0.13,,683,0,0.000,-0.78,0,501051,
501051,2025-11-05,1.949,11.360,2025-11-05,1.9652,2025-11-05,1.9690,,0.19,-0.82,,664,-19,-2.780,0.28,0,501051,
501051,2025-11-06,1.966,21.290,2025-11-06,1.9968,2025-11-06,1.9879,,-0.45,-1.54,,664,0,0.000,1.15,0,501051,
501051,2025-11-07,1.969,1.150,2025-11-07,1.9877,2025-11-07,1.9905,,0.14,-0.94,,664,0,0.000,-0.32,0,501051,
501051,2025-11-10,1.957,1.120,2025-11-10,1.9895,2025-11-10,1.9881,,-0.07,-1.63,,664,0,0.000,0.02,0,501051,
501051,2025-11-11,1.959,1.040,2025-11-11,1.9795,2025-11-11,1.9806,,0.06,-1.04,,664,0,0.000,-0.45,0,501051,
501051,2025-11-12,1.968,3.410,2025-11-12,1.9773,2025-11-12,1.9815,,0.21,-0.47,,664,0,0.000,0.10,0,501051,
501051,2025-11-13,1.983,1.090,2025-11-13,2.0005,2025-11-13,2.0034,,0.14,-0.87,,654,-10,-1.510,1.32,0,501051,
501051,2025-11-14,1.939,1.110,2025-11-14,1.9719,2025-11-14,1.9752,,0.17,-1.67,,654,0,0.000,-1.27,0,501051,
501051,2025-11-17,1.952,0.960,2025-11-17,1.9614,2025-11-17,1.9589,,-0.13,-0.48,,654,0,0.000,-0.66,0,501051,
501051,2025-11-18,1.921,0.980,2025-11-18,1.9514,2025-11-18,1.9557,,0.22,-1.56,,654,0,0.000,-0.29,0,501051,
501051,2025-11-19,1.934,1.040,2025-11-19,1.9509,2025-11-19,1.9562,,0.27,-0.87,,654,0,0.000,0.25,0,501051,
501051,2025-11-20,1.935,0.100,2025-11-20,1.943,2025-11-20,1.9376,,-0.28,-0.41,,654,0,0.000,-0.68,0,501051,
