基金代码,基金简称,基金类型,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费,fetch_date
000001,华夏成长混合,混合型-灵活,1.331,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
000003,中海可转债债券A,债券型-混合二级,1.012,08-31,开放申购,开放赎回,,10.0,10000000000.0,0.08,20260901
000004,中海可转债债券C,债券型-混合二级,0.985,08-31,开放申购,开放赎回,,10.0,10000000000.0,0.0,20260901
000005,嘉实增强信用定期债券,债券型-混合一级,1.0273,08-31,暂停申购,暂停赎回,2026-09-08,10.0,100000000000.0,0.08,20260901
000006,西部利得量化成长混合A,混合型-偏股,3.0257,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
000008,嘉实中证500ETF联接A,指数型-股票,2.3438,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.12,20260901
000009,易方达天天理财货币A,货币型-普通货币,0.416,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
000010,易方达天天理财货币B,货币型-普通货币,0.4502,08-31,开放申购,开放赎回,,5000000.0,100000000000.0,0.0,20260901
000011,华夏大盘精选混合A,混合型-灵活,24.137,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
000013,易方达天天理财货币R,货币型-普通货币,0.453,08-31,限购0,开放赎回,,0.0,0.0,0.0,20260901
000014,华夏聚利债券A,债券型-混合一级,2.2551,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.06,20260901
000015,华夏纯债债券A,债券型-长债,1.2043,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
000016,华夏纯债债券C,债券型-长债,1.1913,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
000017,财通可持续混合A,混合型-偏股,3.918,08-31,开放申购,开放赎回,,10.0,99999999999.0,0.15,20260901
000020,景顺长城品质投资混合A,混合型-偏股,5.424,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
000021,华夏优势增长混合,混合型-偏股,3.79,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
000024,大摩双利增强债券A,债券型-混合一级,1.2546,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
000025,大摩双利增强债券C,债券型-混合一级,1.2224,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
000028,华富安鑫债券A,债券型-混合二级,1.0719,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.08,20260901
000029,富国宏观策略灵活配置混合A,混合型-灵活,3.24,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
000030,长城核心优选混合A,混合型-灵活,1.306,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
000031,华夏复兴混合A,混合型-偏股,2.714,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.15,20260901
000032,易方达信用债债券A,债券型-信用债,1.1312,08-31,暂停申购,开放赎回,,10.0,100000000000.0,0.08,20260901
000033,易方达信用债债券C,债券型-信用债,1.1294,08-31,开放申购,开放赎回,,10.0,100000000000.0,0.0,20260901
000037,广发景宁债券A,债券型-长债,1.2168,08-31,限购2000万,开放赎回,,10.0,20000000.0,0.08,20260901
